protocol,domain_name,address,having_ip_address,long_url,shortening_service,having_@_symbol,redirection_//_symbol,prefix_suffix_seperation,sub_domains,https_token,age_of_domain,dns_record,web_traffic,domain_registration_length,statistical_report,iframe,mouse_over,label
https,monirshouvo.github.io,fb_responsive/,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1
http,mjaymu1hetizmtl0aa.filesusr.com,html/c69417_3069841d505568614ed8bca153fc7adf.html,0,1,0,0,0,0,0,0,2,0,1,2,0,1,1,1
https,www.arub-service.org,65VATGHD78UJSIAJS88SCID/45678788secure97668909HJSH/visitor.php,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1
https,retraiteenaction.ca,irii/banks/SCO/,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1
https,docs.google.com,forms/d/e/1FAIpQLSeSuqYiwoVF64uJl8EwzQPW-vq7_lJHh96vOURoS2rqN1VuNw/viewform,0,1,0,0,0,0,0,0,2,0,1,2,0,1,1,1
https,oyknrmzazildlsaxutqiatopgs-dot-gl44393333333.rj.r.appspot.com,''''''''/,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1
https,etc.synwy.cn,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
http,13-210-12-248.cprapid.com,e-service.post.ch/Redsys.html,0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,1
http,managerpage.co.vu,help_login.html,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1
http,phlexx.com,wp-admin/jet/,0,0,1,0,0,0,0,0,2,0,2,2,0,1,1,1
https,informations.recovery.confiryourpage.workers.dev,,0,2,0,0,0,0,1,0,0,0,1,0,0,1,1,1
https,proprofs.com,survey/t/?title=x5wo8,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,1
http,www.abszolutauto.hu,image/users/webapps/d4f3c66e93f9123d52219c9b3f383a85/signinsecure.php?country.x=NL&amp;locale.x=nl_NL&amp;customer.x=ID-PA,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1
https,offic4046217.sitebuilder.name.tools,,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1
http,mjaymu1hetizmtl0aa.filesusr.com,html/c69417_3069841d505568614ed8bca153fc7adf.html?*c2t5zgvybgl2zsoqkmvzkg==*,0,1,0,0,0,0,0,0,2,0,1,2,0,1,1,1
https,xn--rpondeur-sfr2-bhb.yolasite.com,,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1
https,ip-107-180-93-116.ip.secureserver.net,.x/?hash=daadad@daadad.com,0,2,0,1,0,1,2,0,2,0,1,2,0,1,1,1
https,netorgft2223515-my.sharepoint.com,:x:/r/personal/leon_leongavartin_com/_layouts/15/WopiFrame.aspx?guestaccesstoken=RPaNWAZ3Gooz0d20J9wU7zzskOG8P5egPbT4oc5J5BQ%3d&docid=1_137b486a2059c4fc7b670d2ddb8f27254&wdFormId=%7B07FE213F%2D4079%2D45B9%2DB73F%2DFA9809248DD7%7D&action=formsubmit,0,1,1,0,0,1,0,0,2,0,1,2,0,1,1,1
http,slowlinebag.jp,wp-content/cache/login/piebaldly/nosetiology_remould.html,0,1,0,0,0,0,0,0,1,0,2,1,0,1,1,1
http,massaget5456hera.gb.net,uyjtasdsagfujtrgesqasd,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1
https,docs.google.com,forms/d/e/1FAIpQLSdvo-NUEiPRck-o5Gw7-bNmSz9jvwLySpeQfHFR2g2oSbSRbA/viewform,0,1,0,0,0,0,0,0,2,0,1,2,0,1,1,1
http,pics.lookatmynewphotos.com,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
http,smsorangesmsmessage.myfreesites.net,,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1
https,bit.ly,3bq4Stv?Confirmation,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1
https,www.flowcode.com,page/mnkpo,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
https,haftteam.ir,wp-includes/cn/Crypt/index.php?email=compliance@leverate.com%5C|,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1
http,top10songsnews.com,ggry/ourtime123/ourtime.php,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,1
http,walletconnectors.com,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
http,2524santan-d-er0.hostfree.pw,,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,1
https,little-wood-23ca.abssupdatedlogin.workers.dev,#user@calstatela.edu,0,2,0,1,0,1,2,0,0,0,1,0,0,1,1,1
https,msrhub.in,wp-content/themes/04/Visa.co.jp/,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
http,poligrafiapias.com,Secured-adobe/08fd9fb31cf324e5ac015c21865c28ea/,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1
https,a71843c1.mailssocloud-srvr65e5rd.pages.dev,?srvr=user@cslanet.calstatela.edu,0,1,0,1,0,1,2,0,0,0,1,0,0,1,1,1
https,www.contabilidaderabello.com.br,mark.php,0,0,0,0,0,0,2,0,0,0,1,1,0,1,1,1
http,docsharex-authorize.firebaseapp.com,x...,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1
https,reurl.cc,xgmXr1,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,1
http,smbcwodeqingguoshoujicojp.top,pc/index.php?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.smbc.co.jp%2F%3Fref_%3Dnav_em_hd_re_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=jpflex&openid.mode=checkid_setup&key=a@b.c&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&&ref_=nav_em_hd_clc_signinhttps,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1
https,oyknrmzazildlsaxutqiatopgs-dot-gl44393333333.rj.r.appspot.com,''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''/,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1
https,amaazzo.co.ip.n6f.top,,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1
https,hi.switchy.io,6EvI,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
http,dasd.mz8bqa1.cn,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
https,authenticatewebsite.com,,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,1
https,pateltutorials.com,admin/vendor/league/?go=info@am-terrace.com,0,2,0,1,0,0,0,0,0,0,2,0,0,1,1,1
https,renovkonstruksi.com,index.html,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
https,wireconfirmation68c10a25442a3e13.blogspot.com,,0,2,1,0,0,0,0,0,1,1,1,1,0,1,1,1
https,gormanusa-my.sharepoint.com,:x:/r/personal/tspencer_gormanusa_com/_layouts/15/WopiFrame.aspx?guestaccesstoken=wgfwCMMsSvDSoFA7lJViwaJ85TlECLUG2XBVOQWLmP0%3d&amp;docid=1_12424441d8c29412bb868684e5cb74e47&amp;wdFormId=%7B992E319A%2DBE72%2D460B%2DB6B4%2D2D3FCF789FC5%7D&amp;action=formsubmit,0,1,1,0,0,1,0,0,2,0,2,2,0,1,1,1
https,sites.google.com,view/mobile-redirect-system,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,1
